ballName
Pop Out
Strikeout
Double Play
Flyout
Grounded Into DP
Field Error
Sac Fly
Forceout
Runner Out
Fan interference
Fielders Choice Out
Bunt Pop Out
Double
Triple
Bunt Groundout
Single
Hit By Pitch
Batter Interference
Home Run
Groundout
Lineout
Intent Walk
Walk
Strikeout - DP
